amount,term_ 36 months,rate,payment,grade_A,grade_B,grade_C,grade_D,grade_E,grade_F,grade_G,length_sub 1 year,length_1 year,length_10 plus years,length_2 years,length_3 years,length_4 years,length_5 years,length_6 years,length_7 years,length_8 years,length_9 years,length_n/a,home_MORTGAGE,home_OWN,home_RENT,income,verified_Not Verified,verified_Source Verified,verified_Verified,status_Bad,reason_credit_card,reason_debt_consolidation,reason_home_improvement,reason_other,debtIncRat,delinq2yr,inq6mth,openAcc,pubRec,revolRatio,totalAcc,totalBal,totalRevLim,accOpen24,avgBal,bcOpen,bcRatio,totalLim,totalRevBal,totalBcLim,totalIlLim
20000,1,0.05,602.3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,108000,1,0,0,0,0,1,0,0,12.97,0,0,14,0,0.2,37,204214,105600,8,14587,75033,21.4,328078,62497,95500,67072
20000,1,0.08,628.39,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,74000,0,1,0,0,1,0,0,0,28.27,0,0,18,1,0.31,46,297775,21100,11,16543,6459,36.7,326236,49156,10200,51512
12225,0,0.22,340.78,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,34000,0,0,1,0,0,1,0,0,20.65,0,0,6,1,0.63,19,20498,12300,3,3416,90,98.8,30605,20498,7800,18305
35000,1,0.13,1185.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,250000,0,0,1,0,1,0,0,0,8.29,0,2,22,0,0.59,47,409797,88200,7,18627,26713,55.3,472594,131764,59800,87894
25000,0,0.09,521.03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,125000,0,0,1,0,0,0,1,0,23.43,0,1,20,0,0.52,36,482568,45200,7,28386,4623,72.6,528550,68991,16900,51588
35000,0,0.18,893.54,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,85000,0,0,1,0,0,1,0,0,1.24,0,1,6,0,0.2,15,6915,35200,3,1153,21185,24.6,35200,6915,28100,0
30000,1,0.07,926.18,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,160000,0,0,1,0,0,1,0,0,7.26,1,0,16,0,0.2,33,430764,131700,4,26923,99884,20.5,588371,61331,125700,49171
15000,1,0.08,467.91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,66000,0,1,0,0,1,0,0,0,15.6,0,2,9,2,0.38,29,58709,35000,3,6523,9724,53.2,90694,58709,20800,55694
28175,1,0.18,1021.99,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,61000,0,0,1,0,0,1,0,0,29.13,10,0,15,0,0.72,36,256068,14000,2,17071,3972,71.6,284139,94392,14000,82048
5600,1,0.14,190.48,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,56000,1,0,0,0,0,1,0,0,18.08,2,0,9,0,0.63,23,123456,11800,2,15432,2591,67.6,101855,123456,8000,90055
15550,1,0.18,561.08,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,43200,0,1,0,0,0,0,1,0,26.25,0,1,9,0,0.55,22,184060,8000,2,20451,1338,70.9,208224,37401,4600,44159
6000,1,0.14,206.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,91000,0,0,1,0,0,1,0,0,19.54,0,0,10,0,0.61,18,94269,14000,6,9427,2484,59.3,113469,70817,6100,75969
24925,0,0.17,619.32,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,75000,1,0,0,0,1,0,0,0,14,0,0,16,1,0.46,26,392733,48700,3,28052,9906,69.3,437707,46711,32300,28387
9600,1,0.11,314.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,30000,1,0,0,0,1,0,0,0,13.08,0,0,8,0,0.82,14,11848,14100,1,1481,2558,80,15413,11848,12800,1313
12000,0,0.09,250.1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,80000,0,1,0,0,0,1,0,0,16.38,0,0,21,0,0.3,60,31355,56500,8,1493,20883,39.8,79031,31355,34700,22531
16700,1,0.16,589.52,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,45000,1,0,0,0,0,1,0,0,24.21,5,1,13,1,0.51,23,180521,9800,1,13886,215,93.1,203583,25951,3100,33860
2700,1,0.12,89.08,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,31000,0,0,1,0,1,0,0,0,27.06,0,0,9,0,0.85,18,46329,3800,4,5148,447,86.9,51087,46329,3400,47287
